init Y
left e
right o
go right
left u
right d
go right
left a
right e
go right
left l
restart .
go right
go left
left A
right r
go left
left r
go left
left e
go left
left B
right A
go left
left a
go left
left d
restart .
go right
go left
go left
go left
go left
go right
left w
right F
go right
left a
go left
left i
go left
left l
go left
left u
go left
left r
go left
left e
go left
restart .
go right
go left
go left
go left
go left
go right
go left
left e
right C
go right
left u
go left
left t
go left
left e
restart .
go right
go left
go left
go left
go left
go right
go left
go left
left s
go left
left o
go left
left m
go left
left e
go left
left !
